customer_id,first_name,last_name,email,phone,signup_ts,status,loyalty_points
1,Chris,Green,chris1@ex.com,703-555-6988,2023-06-06T00:00:00,pending,1934
2,Sara,Patel,sara2@ex.com,703-555-9538,2024-04-27T00:00:00,,908
3,Raj,Brown,raj3@ex.com,703-555-6138,2023-09-30T00:00:00,active,779
4,,Brown,jane4@ex.com,703-555-6492,2023-10-31T00:00:00,,
5,Nina,Brown,nina5@ex.com,,,pending,583
6,Tom,Johnson,tom6@ex.com,703-555-1910,,inactive,964
7,Jane,Johnson,jane7@ex.com,703-555-2796,2023-07-01T00:00:00,pending,204
8,Raj,,raj8@ex.com,703-555-5341,2023-05-22T00:00:00,,1514
9,Emma,Smith,emma9@ex.com,,2023-08-01T00:00:00,inactive,1420
10,,Green,tom10@ex.com,703-555-3080,2023-09-08T00:00:00,active,1080
11,Alice,Doe,alice11@ex.com,703-555-2296,,,746
12,John,,john12@ex.com,703-555-6663,2023-08-23T00:00:00,inactive,430
13,,Smith,tom13@ex.com,,2024-03-17T00:00:00,,
14,Mike,Doe,,703-555-7271,2023-06-23T00:00:00,active,
15,,Lee,alice15@ex.com,703-555-8530,2024-01-16T00:00:00,,764
16,Chris,Black,,703-555-9833,2023-08-02T00:00:00,active,
17,Raj,White,raj17@ex.com,703-555-8472,2024-03-10T00:00:00,active,801
18,,Patel,chris18@ex.com,,2024-04-25T00:00:00,active,152
19,Raj,Doe,raj19@ex.com,703-555-3573,2023-09-07T00:00:00,,1016
20,Sara,Green,sara20@ex.com,703-555-2230,2023-07-30T00:00:00,active,
21,Sara,Patel,sara21@ex.com,,2023-03-10T00:00:00,inactive,1555
22,Chris,Lee,chris22@ex.com,703-555-4853,2023-06-17T00:00:00,inactive,258
23,Alice,,alice23@ex.com,703-555-7326,2023-06-17T00:00:00,inactive,
24,Bob,Black,,703-555-2585,2023-06-11T00:00:00,,1809
25,Alice,Green,alice25@ex.com,703-555-4807,2024-02-13T00:00:00,inactive,1848
26,Leo,Lee,leo26@ex.com,703-555-9377,2024-01-09T00:00:00,,687
27,Nina,Doe,nina27@ex.com,703-555-8278,2023-10-09T00:00:00,,1368
28,Tom,Doe,tom28@ex.com,703-555-5027,2023-06-19T00:00:00,pending,38
29,Emma,White,emma29@ex.com,703-555-1577,2024-03-29T00:00:00,pending,526
30,Emma,Green,emma30@ex.com,703-555-8376,2024-04-21T00:00:00,inactive,114
31,Bob,Doe,bob31@ex.com,703-555-9799,2023-08-18T00:00:00,pending,852
32,Jane,Brown,jane32@ex.com,703-555-1083,2023-09-16T00:00:00,inactive,184
33,,Lee,,703-555-2160,,pending,1247
34,Mike,,mike34@ex.com,703-555-7131,2024-01-02T00:00:00,pending,1921
