cust_id|full_name|contact_email|country|address|zip|created_date|vip_flag
1|John Patel|john1@mail.com|AU|677 Main St|20190|2023-12-25|N
2|"Raj|Johnson"|raj2@mail.com|AU|||2023-01-14|
3|Tom Johnson|||886 Main St|ABCDE|2023-02-28|
4|"Chris|White"|chris4@mail.com||452 Main St|ABCDE|2024-05-02|true
5|Nina Lee||CA||20190|2023-07-29|
6|Bob Lee|bob6@mail.com|NULL|447 Main St||2023-07-23|true
7|"Leo|Green"|leo7@mail.com|CA||94105|2023-01-15|true
8|Jane Brown|jane8@mail.com|NULL|365 Main St|94105|2024-04-26|Y
9||sara9@mail.com|US|90 Main St|20190|2023-01-10|
10|Tom Smith|tom10@mail.com|UK|576 Main St|20190|2024-05-02|N
11|Mike Doe|mike11@mail.com||830 Main St|20190|2024-04-13|
12|John Brown|john12@mail.com|UK|27 Main St|94105|2023-07-22|N
13|||US|382 Main St|ABCDE|2023-01-27|N
14|Nina Johnson|nina14@mail.com||309 Main St|20190|2023-03-14|false
15|Tom Johnson|tom15@mail.com|NULL|627 Main St|20190|2024-04-08|N
16|Alice White|alice16@mail.com|||94105|2023-03-02|N
17|Raj Green||AU|||2024-03-25|N
18|Nina Doe|nina18@mail.com|CA|106 Main St|20190|2024-05-07|false
19|"Chris|White"|chris19@mail.com|AU||20190|2024-01-04|true
20|Emma Doe||CA|293 Main St|20190|2023-10-29|Y
21|John Doe|john21@mail.com|NULL|||2024-03-28|true
22|Mike Patel|mike22@mail.com|AU|||2023-12-17|true
23|Raj Green|raj23@mail.com|UK||ABCDE|2023-05-20|N
24|Bob Patel|bob24@mail.com|||94105|2023-03-23|N
25|Jane Brown|jane25@mail.com|AU|805 Main St|ABCDE|2023-03-19|false
26|Chris Lee|chris26@mail.com|US|522 Main St|ABCDE|2024-01-18|true
27|Mike Brown||AU||94105|2023-02-19|N
28|Alice Black|alice28@mail.com||461 Main St|94105|2023-12-15|false
29|Nina Doe||US|841 Main St|20190|2023-07-29|N
30||tom30@mail.com|AU|712 Main St|20190|2024-01-15|false
31||john31@mail.com|NULL||ABCDE|2023-11-21|N
32|Nina Black||CA|99 Main St|20190|2023-12-14|
123|MISMATCH|EXTRA|COLS|HERE|oops
34|Nina Black|nina34@mail.com|NULL|541 Main St|94105|2023-11-17|N
35|Mike White||UK|200 Main St|ABCDE|2023-08-18|N
36|Sara Doe|sara36@mail.com||707 Main St||2023-05-09|N
37|Bob Lee|bob37@mail.com||733 Main St|20190|2023-04-02|N
38|John Smith|john38@mail.com|UK|21 Main St||2024-04-10|
39|Chris Black|chris39@mail.com|NULL|964 Main St|94105|2023-12-26|
