id	fname	lname	signup_date	age	marketing_opt_in
1		Black	2023-01-08	71	0
2	Emma	Doe	2023-07-19	unknown	true
3	Sara	Johnson	2023-04-12	unknown	false
,,,
5	Tom	Patel	2024-02-22	33		extra_col
6	Emma	Black	2024-02-01	unknown	
7	Mike	White	2023-08-04		false
8	Jane	Doe	2023-08-16		
9		Green	2024-01-14	35	true
10	Tom	White	2023-09-28	unknown	false
11	Raj	Smith	2024-01-02		false
12		Lee	2023-09-12	unknown	false
13	Chris	Black	2023-12-30		
14	Emma	Doe	2023-03-31	79	
15	Raj	Doe	2023-11-12		
16		Johnson	2023-07-30		
17	Nina		2023-12-14	58	0
18	John		2023-05-24		1
19	Jane	Smith	2023-03-24	62	
20		Smith		71	1
21	Tom	Smith	2023-01-23		false
22	Tom	White	2024-02-17		0
23	Raj	Johnson	2024-03-09	51	
24			2024-03-31		false
25		Black	2023-03-06		0
123|MISMATCH|EXTRA|COLS|HERE|oops
27	John	Green	2023-10-01	77	1
28	Emma	Patel	2023-04-17		true
29		Green	2024-04-04	unknown	0
30	Mike	Doe	2023-09-20		false
,,,
32	Alice	Lee	2023-07-03		true
33	Jane	Black	2023-02-12	unknown	
34	Emma	Green	2024-03-29	unknown	
35	Sara		2024-05-08		0
36	Tom		2023-12-14	18	false
37	Jane	Doe		unknown	
38	Emma	Lee	2024-05-05	unknown	false
39	John	Brown	2023-12-22		false
40	Chris	Green	2023-05-29	45	0
41	Leo	Black	2023-07-23		
42	Nina	Black	2023-07-01	unknown	1
43	Raj	Johnson	2024-02-19		
44	Alice	Black	2024-05-06		
45		Doe	2023-07-19	unknown	
46	Raj	Doe	2023-05-19		
47	Sara	Green	2024-02-12	unknown	false
48	Mike	White	2023-03-30		false
49	Leo	Smith	2023-03-04	unknown	
50	Tom	Smith	2023-05-06	unknown	
51		Smith	2023-10-10	unknown	1
52	John		2023-04-11	unknown	
53	Nina	Smith			0
54	Jane	Smith	2023-02-15	unknown	0
55	Tom	Green	2024-01-04		
56	Jane	Johnson	2024-02-21		0
57	Chris	Smith	2024-01-26	31	true
58	Leo	Patel	2024-03-06		
59	Leo	Lee	2023-02-16		
60	Jane	Smith	2023-03-29	47	
61	Raj	Johnson	2023-02-18	unknown	true
62	Tom	White			
63	Jane	Doe	2023-10-01	22	
64	Leo	White	2023-03-08		false
65		Lee	2023-08-03	22	false
66	John	Johnson	2024-05-10	56	0
67		Brown	2023-04-07	63	true
123|MISMATCH|EXTRA|COLS|HERE|oops
69		Johnson	2023-05-02		false
70	Nina	Smith	2024-05-14	31	false
71	Raj	White	2023-08-16	unknown	1
72	Raj	Smith	2023-03-15		0
"unterminated,quote,here
74	Chris	Smith	2023-03-23		false	extra_col
75	Jane	Black	2023-10-13	77	false	extra_col
76	Sara	Patel	2023-07-21		
77	Nina	Johnson	2023-04-24		0
78	Nina	Johnson		57	1
79	Tom	Johnson	2024-04-12	unknown	
80	Bob	Johnson	2023-08-17	unknown	
81	John	Johnson	2023-01-09		
82	Jane		2023-10-28	unknown	0
83			2024-02-11	unknown	
84	Mike	Johnson	2023-06-27		
85	Leo	Black	2023-04-15	unknown	true
86	Leo	Green		61	
87	Bob	White	2023-07-18	unknown	
88	Mike	Smith	2023-04-11	74	1
89	Alice		2023-08-05	unknown	0	extra_col
90	Mike	White	2023-11-16		true
91	Emma	Brown		52	
92	Nina	Brown	2024-03-22	79	1
93	Chris				false
94	Mike	Lee	2024-02-25	34	
95	John	Smith	2023-06-22		false
96	Leo	Smith	2023-05-15		1
97	Sara	White	2024-01-30		true
98	Bob	Green	2023-09-25	unknown	
99	Sara	Green	2023-10-24	unknown	1
100	Jane	Brown		unknown	0
123|MISMATCH|EXTRA|COLS|HERE|oops
102	Raj	Green	2023-12-03		
103	Tom	White			
104	Tom	Brown	2024-02-01		
105	Jane	Black	2024-04-13	unknown	true
106	Bob	Lee	2023-11-30	19	1
107	Raj	Johnson	2023-03-26		true
108	Bob	Black	2023-06-13	unknown	1
109	Bob		2023-01-01	73	0
110	John	Smith	2023-05-21	77	false
111	Raj	Doe	2023-06-15		true
112		Smith	2024-02-03		
113	Emma	Johnson	2023-10-25		0	extra_col
114	Emma				1
115	Tom	White	2023-11-29	56	1
116	Tom	Patel	2023-06-20	unknown	1
117	Leo	Patel	2023-04-27	24	
118	Nina	Smith	2024-01-19		1	extra_col
119	Nina	Lee	2023-04-17	18	
120	Tom	Doe	2023-12-27		false
121	Raj	Smith	2023-02-20		false
122	Raj	Patel	2023-08-06	31	
123		Patel		63	1
124	Mike		2023-12-03	19	false
125	John	Johnson	2023-08-26	45	
126			2023-06-01	unknown	false	extra_col
127	Nina	Lee	2024-03-14	25	
128	John		2023-10-30	80	1
129	Mike	Patel	2023-02-24	unknown	1
130		Lee		unknown	
131		Patel	2024-02-01	69	
132	Bob	White	2023-07-01		1
133	Alice	White	2023-05-06		
134		Johnson		unknown	
135		White	2023-07-07	unknown	
136	Raj		2023-08-26	48	true
137		Doe	2023-01-26	unknown	false
138	Chris	Green		unknown	1
139		White	2023-09-18	unknown	false
140	Leo	Doe	2024-02-05	unknown	
141	Mike	Patel	2023-04-16	unknown	false
142	Mike	Johnson	2023-01-04		0
143	Chris	Johnson	2023-04-10		false
144	Jane	Patel	2024-01-09	unknown	true	extra_col
145	Nina	Patel	2023-06-25		1
146	Emma	Lee	2024-01-11	19	1
147	Mike	Lee	2023-05-01	65	0	extra_col
148	Chris	Smith		unknown	false
149	Emma	Lee	2023-01-21		0
150	Tom	Doe	2023-11-28	34	true
151		Smith			
152	Nina	Black	2024-04-04	38	0	extra_col
153	Alice	Patel	2023-05-31	46	false
154	Bob	Smith	2023-04-22		1
155	Jane	Patel	2023-10-18	unknown	true
156	Tom	Green	2024-01-27	unknown	
157	Mike	Doe	2024-03-12	unknown	true
158	Nina	Smith			false
159	Jane		2023-03-04	unknown	
160		Johnson	2024-03-31		false
161	Tom	Smith	2023-03-19		false
162		Smith	2023-12-11	30	0
163	Jane	Patel	2023-03-14		1
164	Chris	Black	2024-04-29	25	1
165	Jane		2023-12-14	40	true
166	Mike	Johnson	2023-07-31	22	
167	Emma	Johnson	2023-01-05		true
168	Leo	Patel	2024-02-09	27	true
169	Mike		2023-03-20		false
170	Emma	Green	2023-12-21		0
171	Sara	Green	2024-01-31	unknown	1
172	Alice	Johnson			0
173	Sara	White	2023-10-12	38	1
174	Raj	Green	2024-02-08		
175	John	Patel		58	true
176			2024-03-02	unknown	
177	Chris	Black	2023-04-27		false
178					true
179	Mike	White	2023-04-10	22	
180		Johnson	2023-07-24	unknown	
181	Sara	Brown	2023-03-07	unknown	1
182	Mike	Doe	2023-11-24		0
183	Alice	Lee	2024-03-23		true
184	Mike		2023-04-20	29	1
185	Raj	Black	2024-03-24	54	1
186	Bob	Patel	2023-04-21		false
187	Nina		2023-10-25	59	false
188	Alice			unknown	0
189	Alice	Smith	2023-04-05	unknown	
190	Sara	White		unknown	1
191	Tom	Lee	2023-01-23		0
192	Alice		2023-05-07		0	extra_col
193	Sara	Smith	2023-10-14	62	
194	Nina	White			false
195		Patel	2023-08-23	unknown	false
196	Nina	Smith	2023-10-17		1
197			2024-02-20	unknown	true
198	Nina		2024-01-26		1
199	Nina	Lee	2024-02-07		1
200	Leo	Black	2023-03-25	67	
201	Jane	Smith	2023-05-05	21	
"unterminated,quote,here
203	Leo	Lee	2024-01-20	unknown	
204	Mike	Lee			0
205	Alice	Johnson			false
206		Black	2023-10-25	50	0	extra_col
207	Leo		2023-12-25	79	
208	Leo	Smith	2024-01-20		false
209	John	Smith		unknown	false
210	Raj	Johnson	2023-04-02		
211	Emma	Doe	2023-08-05		
212	Bob	Lee	2023-07-19	49	0
213		Lee	2023-08-11	40	0
214		White	2024-04-10	38	0
215	Raj	Doe	2023-05-16	unknown	
216				unknown	0
217	Chris	Smith	2024-04-28	unknown	1
218	Alice	Smith	2024-04-05		0
219	Tom	White	2023-01-09	unknown	true
220	Emma		2024-03-21	unknown	false
221	John	Brown	2023-09-02		0
222		Smith	2023-02-27	23	
223			2023-06-04	70	true
224	John	Patel	2023-03-18	unknown	false
225	Emma	White	2024-03-30	25	true	extra_col
226	Leo	Brown	2023-08-03	19	
227	Leo	Brown		55	1
228		Lee	2023-08-02		1
229	Raj	Smith	2023-06-13	unknown	true
230	Chris	Patel	2024-01-17	unknown	false
231	Leo	Black	2023-12-26		
232	Emma	Brown			false
233	Raj	Black	2023-04-26		
234	Bob		2023-02-15	unknown	0
235	Nina	Lee		unknown	
236	Emma	Brown	2023-07-29	unknown	
237	Bob	Green	2023-09-01	41	
238	Jane	Johnson	2023-08-04		true
239	Mike	Green	2023-12-10	unknown	true
240	Chris	Brown	2023-08-30		
241	Leo	Patel	2023-06-13	73	
242		Lee	2023-07-22	20	false
243	Leo	Johnson	2023-04-26		true
244	Tom	Johnson	2023-03-21	49	false
245	Nina	Patel	2023-08-25	31	false
246	Leo		2023-07-12	22	0
247	Alice	Smith			true
248	Emma	Green	2023-08-24	unknown	true	extra_col
249		Black	2024-03-01	unknown	1
250		Lee	2024-01-20	unknown	1
251	Sara	Lee	2023-05-13	unknown	
252	Chris	Johnson	2023-08-10	35	false
253	Sara	Doe		unknown	true
254	Emma	Doe	2024-01-16	unknown	0
255	Bob	White	2023-02-23	34	0
256	Mike		2023-08-27		0
257	Emma	Green		76	
258	Chris		2023-01-27		
259	Emma	Smith	2023-05-10	74	false	extra_col
260	Raj	Lee	2023-08-08		false
261	Mike	Smith	2023-07-14	50	true
262		Lee	2023-01-04		0
263	Sara	Johnson		unknown	
264	Mike	Brown		unknown	
265	Chris	White	2023-06-24		true
266	Raj	Brown	2023-01-20	48	0
267	Alice	Green	2023-06-20	unknown	1
268	Mike	Lee	2023-05-08		true
269	Mike	Brown	2023-03-28		true
270		Lee			0
271		Patel	2024-01-09	unknown	0	extra_col
272	Sara	Green	2023-01-27	46	0
273	Alice	Green	2023-04-25	31	0
274		Brown	2023-05-13	42	true
275	Tom	Lee	2023-03-14		true
276	Raj	Johnson		unknown	
277	Raj	White	2024-03-26		1
278	Emma	Johnson		unknown	
279	Alice		2023-04-06		
280	Sara	Johnson	2023-09-12	78	0
281	Tom	Johnson			true
282		Smith	2024-03-03	unknown	
283	Raj	Brown	2024-02-02	unknown	0	extra_col
284	Leo	White	2023-01-24		0
285	Raj	Smith	2023-07-12	unknown	true
286	Leo	Johnson	2023-03-30	unknown	1
287	Emma	Lee	2023-12-15		false
288		Brown			0
289		Lee	2024-04-06		1
290	Tom	Patel	2024-04-13	51	0
291			2023-05-21	49	0
292	Chris	Johnson	2023-05-02	unknown	0
293	Raj	Smith	2024-01-31	41	true
294		Black	2023-09-06		false
295		Johnson		unknown	1
296	Leo	Lee	2023-03-31		false
297	Bob	Smith	2024-03-04		1
298	Chris	White		45	1
299	Alice	Doe	2023-10-05		true
300	Nina	Johnson	2023-06-26		true
301	Raj	White	2024-03-16	71	1
302		Doe	2023-11-22		
303	Bob	Black	2023-02-15		0
304	Sara	Patel	2024-05-02	unknown		extra_col
305	Raj	Green	2023-11-10	72	1
306	Jane	Black	2023-10-09		1
307	Bob	Brown		76	
308	Nina	Lee	2023-12-09		0
309	Jane	Smith		unknown	0
310	Mike	Smith	2023-10-23	unknown	1
311	Jane	Brown	2023-05-05		false
312	Bob	Black		unknown	true
313	Tom		2023-01-26	unknown	0
314		Brown	2023-01-07	42	0
315	Raj	Patel		unknown	true
316	Bob	Doe	2023-05-11	unknown	false
317	Sara	Lee	2023-01-24		0
318	Emma	White		unknown	
319			2024-01-04		false
320		Lee	2023-03-16		
321	Alice		2023-10-14	69	false
322	John	Lee	2023-08-27	unknown	
323	Leo	Brown	2023-08-23		false
324	Emma	Patel	2024-02-04	66	false	extra_col
325	Jane	Brown	2024-02-29	64	false
326		Doe	2023-08-29		1
327	Leo	Green	2023-05-03		true
328	John		2024-04-17	71	false
329	Bob	Johnson	2024-01-26	63	1
330	Bob	White	2024-02-17		1	extra_col
331	Jane	Brown	2023-02-16		
332	Mike	Smith	2024-01-27	unknown	true
333		Patel	2023-08-10	unknown	
334	Tom	Brown	2023-08-23	unknown	0	extra_col
335	Nina	Smith	2023-03-09		false
336	John	Johnson		unknown	
337	Alice	Doe			
338		Brown		32	0
339	Bob	Patel	2023-06-12	unknown	
340	Mike	Doe	2023-02-05		0
341	John	Brown	2023-01-13	unknown	1
342	John	White	2023-07-27		1
343	Tom	Smith	2023-12-07		false
344		Patel	2024-04-16	76	
345	Sara	Lee	2024-03-07		
346	Alice	Patel	2023-07-23	48	false
347	Alice				false
348	Mike	Patel		32	false
349	Jane	Lee	2024-02-16		true
350	Raj	Black	2023-02-21		false
351	Bob	Lee		58	
352	Alice	Lee	2023-08-02		false
353	Sara	Doe			
354	Leo		2024-03-23		
355	Bob		2023-04-15		1
356		Green	2023-04-04	43	
357	Nina	Lee	2024-01-05	39	0	extra_col
358	John		2024-05-14		0
359	Sara	Green			
360	Alice		2023-08-04		true
361	Emma	Green	2024-03-06	77	false
362	Tom	Green	2023-02-03		0
363	Nina	Smith			
364		White	2023-05-21	unknown	true
365	Emma	Green	2024-01-20	unknown	
366	Sara	White	2024-01-05		
367	Bob	Black	2023-02-17	unknown	1
368	Alice	Doe	2024-05-03	45	
369	Chris	Brown	2024-01-22	71	
370	Alice	White	2024-02-24	19	0
371	Raj		2024-02-19	68	
372		Green	2024-02-06	unknown	false
373	Bob	White	2023-02-12		true
374			2023-11-04	21	
375		Doe	2023-01-30	33	0
376	Alice		2023-09-06		1
377	Alice	Smith	2023-10-06		1
378	Chris	White	2023-06-09		true
379		Patel	2024-01-05	77	true
380	Sara		2023-07-16		1
381		White	2023-02-03		0
382	Mike	Smith	2023-11-04	56	true
383	Mike	Johnson	2023-03-21	unknown	
384	Alice	Black	2024-03-16		true
385	Nina	Lee	2023-08-05	unknown	0
386	Emma	Green	2023-03-09		true
387		Green	2023-08-16	76	true
388	Mike	Brown	2024-01-12	unknown	false
389	Mike	Lee	2023-10-24		false
390	Tom		2024-05-07		1
391		Black	2023-03-27	66	false
392	Alice		2024-03-07	28	1	extra_col
393			2024-02-28	29	0
394	Alice	Patel	2023-07-03	72	0	extra_col
395	Emma	Smith	2023-08-08	unknown	false
396		Brown	2023-11-15		true
397	Raj		2023-05-14		
398	Raj	Patel	2024-05-07	unknown	1
399	Nina	Black	2024-05-01	unknown	true
400	Raj	Smith	2023-02-04		
401	Nina	Patel	2023-10-27	unknown	
402	Emma	Brown	2023-08-19		
403	Nina				1
404	Nina	Lee	2023-09-21	37	
405	Leo	Patel	2024-04-20	39	1
406	Mike	Smith	2023-06-03	22	1
407	Leo		2023-12-10		
408	Jane	Green	2023-03-16		false
409		Brown	2023-04-21	unknown	
410	John	Patel	2023-11-04	40	false
411	Alice	Lee	2023-04-23	58	1
412	Leo	Johnson			true
413	Chris	Johnson	2023-04-20	20	1
414		White	2023-06-05		
415	John	White	2023-10-18		1
416	Chris	Patel	2024-01-14		1
417	Raj		2023-11-30	unknown	1
418	Mike	Black	2023-03-28	unknown	false
419	Tom	Doe	2023-06-19	unknown	1
420	Emma	Smith	2023-06-17	18	
421	Bob	Patel	2023-08-29	unknown	
422	Leo	Johnson		unknown	0
423	John	Patel	2023-08-25	unknown	true
424	Jane	Lee	2023-09-03	unknown	
425	Alice		2023-09-13	unknown	true
426	Mike	Doe	2023-06-26	58	false
427	Chris		2023-10-22	unknown	1
428		Lee	2024-01-04	unknown	
429	Nina	Smith	2023-10-16	unknown	true
430	Bob	Patel	2023-07-24		0
431		Smith	2023-07-26	unknown	
432	John	Patel	2023-03-07		
433		White	2023-01-10	unknown	1
434	Emma	Lee	2023-08-24	75	false
435	Emma	Johnson	2024-01-27	unknown	
436		Smith	2024-02-15		true
437	Bob	Brown	2023-01-01	38	1
438	Sara	Smith	2023-11-11		1
"unterminated,quote,here
440	Jane	Doe			true
441	John		2023-04-28	unknown	1	extra_col
442		Smith	2023-05-11		
443	Raj	Patel	2024-03-17	54	
444	Jane	Black	2023-01-10	37	1
445	Sara	White		33	
"unterminated,quote,here
447	Leo	Green	2023-03-05	unknown	
448	Nina	Smith	2023-03-16		true	extra_col
449	Chris	Smith	2024-03-18		true
450	Tom	Brown	2023-12-20	66	
451		Black	2023-05-07		true
452		Smith	2023-01-11	unknown	false
453	Nina	White			true
454	Nina	Johnson	2024-04-07	58	0
,,,
456	Jane	White	2023-11-16	unknown	1
457	Raj	Doe	2023-09-05	unknown	1
458		Brown	2023-07-24	unknown	false
459		Brown	2024-03-21		
460	Leo	Johnson	2024-01-31	unknown	true
461	Bob	Smith	2023-04-14		0
462	Jane	Patel	2024-04-11		
463	Leo	Green			true
464	Alice	Black	2024-04-08	unknown	false
465	Tom	Green	2023-10-25	unknown	
466	John	White	2023-01-15		
467		White	2023-03-02	unknown	true
468	Tom	White	2023-01-10	59	false	extra_col
469		White			1
470	Sara	Brown	2023-04-29		
471	Sara	Patel		21	1
472	Raj	Doe	2023-12-04		1
473	Sara	Doe	2023-11-07		0
474	John	Lee	2023-01-01		0
475	Tom	Patel	2023-10-18	unknown	
476	Nina	Johnson	2023-12-07	unknown	true
477	Mike	Patel	2023-09-24		0
478		Black	2023-05-14	75	
479	Mike		2023-11-26		
480	Bob	White	2024-04-13	unknown	false
481	Leo		2023-02-01		false
482	Raj		2024-03-17		
483		Johnson			1
484	Nina		2024-01-26		false	extra_col
485		Smith	2023-11-10	unknown	false
486	Chris		2024-03-30	70	1
487	Leo	White	2024-05-11	unknown	
488		Lee	2023-12-26		
489	Emma	Smith			true
490	Emma	White	2023-05-24	unknown	
491	Tom	White	2023-05-17	33	
492	Bob	Patel	2024-04-26		0
493	Jane	Doe	2023-12-28		false
494	Raj			73	0
495	Nina	Green	2023-03-24	18	false
496	Tom	Patel	2023-08-09	61	0
497	Nina	Brown	2023-02-17		0
498	Bob	Patel	2023-04-30	unknown	false
499	Bob	Doe	2024-04-23		1
500	Bob	Patel	2023-01-13	unknown	false	extra_col
501	Mike		2023-01-18		0
502	Leo	Green	2023-03-05		1
503	Alice	White	2023-02-24	unknown	
504		Patel	2024-02-04	25	1
123|MISMATCH|EXTRA|COLS|HERE|oops
506	Alice	Green	2024-01-16	unknown	true
507	Bob	Lee	2023-10-20	unknown	
508	Tom		2024-04-06	unknown	false
509			2023-08-09	19	false
510	John	Lee	2024-04-14		1
511	Mike	Green	2023-03-10	39	
512	Emma		2023-07-23	unknown	1
513	Jane	Brown			true
514	Leo			70	true
515	Bob	Patel	2024-02-26	unknown	
516		Green	2023-12-16		0
517	Alice		2023-06-28		1
518	Alice	Brown	2023-08-06		true
519			2023-12-07			extra_col
520	Nina	White		unknown	
521	Sara	Lee	2023-05-30	unknown	
522		Patel	2023-06-16	unknown	0
523	Raj	Green	2023-10-11		0
524	Chris	Green		61	true
525	Raj	Lee	2023-08-31		
526	Raj	Lee	2023-10-27		
527	Leo	Brown	2023-01-27	unknown	true
528	Chris	Black	2023-02-09	unknown	
529	Tom	Brown	2023-05-28		
530	Tom	Brown		61	false
531	John	Brown	2023-04-07		false
532	Jane	Black	2023-08-14	47	1
533	Sara	Smith	2023-12-20		false
534	Mike	Brown	2023-04-03	unknown	0
535	Raj	White	2023-08-02	unknown		extra_col
536		Patel	2023-03-29		0
537		Patel	2023-03-05		false
538	Jane	Doe	2023-01-25		
539	Raj	Smith	2023-03-03	61	1
540		Smith		unknown	
541	Emma	Smith	2023-06-14		0
542	Emma	Green	2024-01-05	68	0
543		Smith	2023-12-20	33	true
544	Raj	Green	2023-02-06		true
545	Alice	Doe		unknown	0
546			2023-09-20		
547	Tom	White	2023-04-12	41	
548	Mike	Green	2023-02-25	53	1
549	John	Black	2024-04-07		
550	Sara	Doe			false
551	Tom	Doe	2024-02-10	unknown	
552	Nina	Patel	2023-01-20		
553		Brown	2023-04-14	unknown	false
"unterminated,quote,here
BAD_ROW_WITH_TOO_FEW_COLS
556	Nina	Green	2024-05-02		
557	Tom		2023-08-30	24	true
558	Sara	White	2023-01-07		0
559	Mike	Brown			0
560	Jane	Lee	2023-09-15	33	
561	Jane	Lee	2024-04-24	unknown	0	extra_col
562		White	2023-06-14		true
563	Chris	White	2024-01-30		true
564	Mike	Brown	2023-05-02		false
565	Emma	White	2023-12-25		1
,,,
567	Tom	Smith	2023-04-30		0
568	Emma				
569	Emma	Johnson	2023-12-09	21	0
570	Emma	Smith	2023-07-17		false
571	Nina	Smith			1
"unterminated,quote,here
573		Brown			
574		Smith	2023-03-16	unknown	1
575	Bob	White	2023-10-17		0
576	Emma	Black	2024-02-13		0
577	Raj	White	2023-02-06	unknown	true
578	Tom	Doe	2023-12-18	67	true	extra_col
579	Tom	Green	2023-07-08	unknown	0
580			2024-04-16	unknown	1
581	John	Brown		unknown	
582	Emma	Lee	2023-09-21	unknown	false
583	Leo	Johnson		70	false
584	Alice	Patel	2024-01-30	unknown	
585		Johnson	2024-02-08	unknown	0
586	Raj	Black	2023-09-12	39	0	extra_col
587		Smith	2023-11-27		1
588	Tom	Patel		unknown	
589	Raj	Green	2024-02-25		1
590	Nina	Patel	2023-12-11	47	true
591	Nina	Brown	2023-01-17		
592	Nina	Black			1
593	John	Smith	2023-10-28	70	
594	Sara	Green			0
595	Chris	Lee	2023-07-24	unknown	1
596		Smith	2023-02-19	41	true
597	Chris		2024-02-18		true
598	Nina	Patel	2024-03-24		true
599	Chris	Johnson	2023-10-08	56	false
600	Chris	Black	2023-02-27		1
601	John	White			
602	Raj	White	2023-04-23	unknown	0
603	Sara	Lee	2023-05-15		1
604	Raj	Black			0
605	Chris	Johnson			0
606	Tom		2023-07-03	unknown	1	extra_col
607	John	Johnson			true
